"","reporter_iso","partner_iso","product_code","product_shortname_english","export_value_usd","import_value_usd"
"738","tur","ukr","0501","Human Hair",NA,173
"739","uzb","ukr","0501","Human Hair",13219,NA
"740","cze","ury","0501","Human Hair",2,NA
"741","idn","ury","0501","Human Hair",3831,NA
"742","are","usa","0501","Human Hair",NA,58010
"743","arg","usa","0501","Human Hair",NA,53865
"744","atg","usa","0501","Human Hair",NA,489
"745","aus","usa","0501","Human Hair",NA,4690
"746","bel","usa","0501","Human Hair",NA,997
"747","bhs","usa","0501","Human Hair",NA,42318
"748","blr","usa","0501","Human Hair",6200,741
"749","blz","usa","0501","Human Hair",NA,2880
"750","bmu","usa","0501","Human Hair",NA,2237
"751","bol","usa","0501","Human Hair",NA,65719
"752","bra","usa","0501","Human Hair",5312,40487
"753","can","usa","0501","Human Hair",NA,4120
"754","che","usa","0501","Human Hair",NA,1150
"755","chn","usa","0501","Human Hair",582227,208909
"756","col","usa","0501","Human Hair",NA,10375
"757","cri","usa","0501","Human Hair",NA,24473
"758","cyp","usa","0501","Human Hair",NA,5502
"759","cze","usa","0501","Human Hair",1965,NA
"760","dnk","usa","0501","Human Hair",NA,157298
"761","dom","usa","0501","Human Hair",NA,18591
"762","ecu","usa","0501","Human Hair",NA,16128
"763","esp","usa","0501","Human Hair",37130,85
"764","fin","usa","0501","Human Hair",429,NA
"765","fra","usa","0501","Human Hair",10963,457
"766","gbr","usa","0501","Human Hair",40282,5705
"767","gha","usa","0501","Human Hair",78,4138
"768","hkg","usa","0501","Human Hair",502,69070
"769","hnd","usa","0501","Human Hair",NA,2747
"770","hun","usa","0501","Human Hair",NA,100
"771","idn","usa","0501","Human Hair",4082,159
"772","ind","usa","0501","Human Hair",1580759,27656
"773","irl","usa","0501","Human Hair",NA,49
"774","isr","usa","0501","Human Hair",10630,7834
"775","ita","usa","0501","Human Hair",1782510,1592
"776","jpn","usa","0501","Human Hair",NA,95135
"777","ken","usa","0501","Human Hair",960,NA
"778","kor","usa","0501","Human Hair",NA,30695
"779","mar","usa","0501","Human Hair",3790,NA
"780","mex","usa","0501","Human Hair",NA,17618
"781","mmr","usa","0501","Human Hair",108500,NA
"782","nam","usa","0501","Human Hair",NA,427
"783","nga","usa","0501","Human Hair",NA,807
"784","nld","usa","0501","Human Hair",NA,205449
"785","pry","usa","0501","Human Hair",7719,142164
"786","sgp","usa","0501","Human Hair",2148,2698
"787","svn","usa","0501","Human Hair",NA,435
"788","tto","usa","0501","Human Hair",NA,12448
"789","tur","usa","0501","Human Hair",1975,NA
"790","vgb","usa","0501","Human Hair",NA,45242
"791","wsm","usa","0501","Human Hair",NA,990
"792","zaf","usa","0501","Human Hair",192,4899
"793","chn","uzb","0501","Human Hair",6832,NA
"794","gbr","uzb","0501","Human Hair",NA,1326
"795","hkg","uzb","0501","Human Hair",NA,2695
"796","kaz","uzb","0501","Human Hair",NA,2306
"797","mmr","uzb","0501","Human Hair",NA,634648
"798","svk","uzb","0501","Human Hair",NA,38972
"799","ukr","uzb","0501","Human Hair",NA,13219
"800","vnm","uzb","0501","Human Hair",NA,197911
"801","usa","vgb","0501","Human Hair",45242,NA
"802","ago","vnm","0501","Human Hair",NA,112
"803","bra","vnm","0501","Human Hair",NA,1467
"804","che","vnm","0501","Human Hair",5,NA
"805","cze","vnm","0501","Human Hair",NA,1763
"806","deu","vnm","0501","Human Hair",NA,10467
"807","est","vnm","0501","Human Hair",NA,5417
"808","hkg","vnm","0501","Human Hair",30044,NA
"809","hun","vnm","0501","Human Hair",NA,5497
"810","idn","vnm","0501","Human Hair",6612,NA
"811","ind","vnm","0501","Human Hair",74541,NA
"812","mmr","vnm","0501","Human Hair",952,NA
"813","mys","vnm","0501","Human Hair",17909,NA
"814","nam","vnm","0501","Human Hair",NA,12494
"815","nga","vnm","0501","Human Hair",NA,3024
"816","pak","vnm","0501","Human Hair",1108669,NA
"817","phl","vnm","0501","Human Hair",1305,NA
"818","srb","vnm","0501","Human Hair",495,6488
"819","svk","vnm","0501","Human Hair",NA,66098
"820","uzb","vnm","0501","Human Hair",197911,NA
"821","usa","wsm","0501","Human Hair",990,NA
"822","bel","zaf","0501","Human Hair",NA,112
"823","bwa","zaf","0501","Human Hair",NA,6354
"824","chn","zaf","0501","Human Hair",13963,NA
"825","cod","zaf","0501","Human Hair",NA,52056
"826","gbr","zaf","0501","Human Hair",229,316
"827","hkg","zaf","0501","Human Hair",5117,NA
"828","ind","zaf","0501","Human Hair",817,NA
"829","lso","zaf","0501","Human Hair",NA,25469
"830","moz","zaf","0501","Human Hair",NA,50373
"831","nam","zaf","0501","Human Hair",2969,156336
"832","prt","zaf","0501","Human Hair",NA,123
"833","rus","zaf","0501","Human Hair",NA,7
"834","swz","zaf","0501","Human Hair",NA,4647
"835","usa","zaf","0501","Human Hair",4899,192
"836","zmb","zaf","0501","Human Hair",NA,2998
"837","chn","zmb","0501","Human Hair",1938,NA
"838","ind","zmb","0501","Human Hair",645,NA
"839","mwi","zmb","0501","Human Hair",NA,12204
"840","tza","zmb","0501","Human Hair",6737,NA
"841","zaf","zmb","0501","Human Hair",2998,NA
"842","are","zwe","0501","Human Hair",192,NA
"843","chn","zwe","0501","Human Hair",630,NA
"844","pak","zwe","0501","Human Hair",4535,NA
